subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
53,1,672.5714286,669.0070922,672.9726027,675.1333333,634.8285714,658.9375,673.0606061,699,1
54,1,599.7058824,569.266055,588.9215686,603.40625,597.1764706,593.7878788,590.59375,601.5588235,1
55,1,596.6470588,602.2702703,628.4375,675.4468085,579.0588235,576.1470588,580.3125,631.9354839,1
56,1,711.877551,726.9782609,731.958042,722.4693878,702.8333333,701.6363636,734.6944444,711.6060606,1
57,1,450.52,451.3006993,468.3714286,507.2291667,468.3636364,443,469.3,465.6774194,1
58,1,574.8269231,571.9731544,622.9724138,641.4313725,565.1818182,595.4117647,607.7941176,611.7647059,1
59,1,582,594.0945946,589.4575163,595.5,564.3939394,572.0571429,584.0571429,588.2571429,1
60,1,571.4897959,572.4407895,590.7671233,606.28,590.9722222,572.5588235,584.7878788,617.8235294,1
61,1,603.84,632.7816901,630.885906,637.5416667,618.53125,627.9393939,615.5454545,638.8857143,1
62,1,613.4285714,608.2534247,638.6293706,654.6818182,628.9714286,637.0571429,625.969697,627.3142857,1
63,1,664.54,690.6176471,658.9583333,719.7755102,644.1818182,670.6111111,661.1470588,687.6551724,1
64,1,699.8076923,691.0564516,665.6884058,658.0888889,665.0333333,690.952381,640.28,650.0625,1
